ward code,ward name,local authority code,local authority name,All usual residents,Aged 4 years and under,Aged 5 to 9 years,Aged 10 to 14 years,Aged 15 to 19 years,Aged 20 to 24 years,Aged 25 to 29 years,Aged 30 to 34 years,Aged 35 to 39 years,Aged 40 to 44 years,Aged 45 to 49 years,Aged 50 to 54 years,Aged 55 to 59 years,Aged 60 to 64 years,Aged 65 to 69 years,Aged 70 to 74 years,Aged 75 to 79 years,Aged 80 to 84 years,Aged 85 years and over
E05014065,Mayesbrook,E09000002,Barking and Dagenham,15613,1260,1350,1360,1131,989,1087,1263,1374,1271,1035,902,857,520,392,319,170,150,183
E05014066,Northbury,E09000002,Barking and Dagenham,13180,1133,1159,979,898,840,1061,1278,1340,1074,909,760,565,448,270,190,114,101,61
E05014067,Parsloes,E09000002,Barking and Dagenham,15155,1047,1193,1238,1006,907,942,1148,1246,1167,1085,1084,911,725,503,339,258,187,169
E05014068,Thames View,E09000002,Barking and Dagenham,5659,435,479,526,451,345,388,472,467,487,376,356,291,202,124,97,50,58,55
E05014069,Valence,E09000002,Barking and Dagenham,15231,1132,1254,1428,1046,852,879,1086,1287,1193,1133,1002,934,617,449,365,229,189,156
E05014070,Village,E09000002,Barking and Dagenham,12642,1021,1007,1072,812,751,907,1005,1010,890,847,853,667,516,379,334,224,183,164
E05014071,Whalebone,E09000002,Barking and Dagenham,14178,1289,1240,1120,921,815,1005,1249,1342,1200,856,844,663,556,309,265,191,163,150
E05013628,Barnet Vale,E09000003,Barnet,17082,974,979,999,862,790,1082,1148,1342,1262,1212,1296,1223,969,781,771,536,399,457
E05013629,Brunswick Park,E09000003,Barnet,16167,732,995,1181,933,861,893,889,1107,1241,1180,1291,1135,1009,727,716,494,381,402
E05013630,Burnt Oak,E09000003,Barnet,21573,1383,1531,1613,1422,1458,1493,1668,1686,1714,1649,1525,1238,953,769,571,358,266,276
E05013631,Childs Hill,E09000003,Barnet,19403,1072,1198,1221,982,1167,1616,1618,1668,1467,1366,1296,1087,900,745,706,473,349,472
E05013632,Colindale North,E09000003,Barnet,12729,960,901,911,834,915,1069,1138,1116,1033,1009,796,677,459,321,235,165,114,76
