,,Net additions to dwelling stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ONS Code,Local authority,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011/12,2012/13,2013/14,2014/15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,,,,,,,,
E12000002,North West,"13,543","18,120","21,853","21,411","23,832","26,009","29,314","19,569","13,397","11,793","10,917","13,007","13,563","18,684","19,662","24,281","26,153","29,959","33,482","28,256","28,452",,,,,,,,
E12000003,Yorkshire and The Humber,"12,752","13,452","16,252","15,024","18,684","21,712","22,826","17,336","13,578","13,594","11,947","10,181","11,799","13,828","15,610","17,641","19,503","20,150","20,178","16,013","18,801",,,,,,,,
E12000004,East Midlands,"16,188","16,938","15,758","18,380","21,109","23,089","21,614","15,230","13,805","12,749","11,182","11,205","12,705","15,613","17,652","19,473","21,451","22,256","20,979","20,175","22,099",,,,,,,,
E12000005,West Midlands,"13,052","13,742","12,532","17,725","20,509","18,137","17,633","14,620","12,283","11,848","10,679","10,958","12,520","17,267","18,343","18,880","22,193","24,940","24,175","19,146","24,593",,,,,,,,
E12000006,East,"19,154","21,554","22,306","23,500","25,831","26,121","27,950","21,920","17,439","18,278","18,105","15,556","17,096","20,193","22,140","25,186","25,408","29,834","28,019","25,306","27,446",,,,,,,,
E12000007,London,"19,688","21,648","25,775","26,873","28,852","30,927","31,557","32,290","28,330","21,820","24,866","21,039","23,577","26,843","30,390","39,560","31,723","36,618","40,870","34,023","37,204",,,,,,,,
E12000008,South East,"26,219","27,269","29,104","33,179","34,405","35,692","36,536","33,445","23,204","23,496","24,552","22,195","21,853","28,348","34,842","36,526","39,276","41,561","41,107","38,852","41,016",,,,,,,,
E12000009,South West,"21,619","21,809","22,158","22,489","22,504","24,688","27,206","22,657","17,703","17,710","18,077","16,360","19,372","22,377","23,203","25,328","26,800","26,508","24,273","22,318","24,279",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E92000001,England,"146,704","159,875","170,969","185,553","202,653","214,936","223,534","182,767","144,870","137,394","134,896","124,722","136,605","170,693","189,645","217,345","222,281","241,877","242,702","211,865","232,816",,,,,,,,
